MONTH,DAY,Date,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLED,CANCELLATION_REASON,ID
1,1,1/1/15,5471,N576SW,RKS,DEN,1,C,115471N576SW
1,1,1/1/15,130,N012AA,MIA,TPA,1,A,11130N012AA
1,1,1/1/15,665,N684WN,DAL,STL,1,A,11665N684WN
1,1,1/1/15,2908,N697MQ,ABI,DFW,1,B,112908N697MQ
1,1,1/1/15,4865,N12540,MAF,IAH,1,B,114865N12540
1,1,1/1/15,2795,N628MQ,DFW,HOU,1,B,112795N628MQ
1,1,1/1/15,2946,N652MQ,LCH,DFW,1,B,112946N652MQ
1,1,1/1/15,3491,N668MQ,DFW,CVG,1,B,113491N668MQ
1,1,1/1/15,2563,N902EV,DFW,CRP,1,A,112563N902EV
1,1,1/1/15,3040,N649MQ,GCK,DFW,1,B,113040N649MQ
1,1,1/1/15,2853,N906MQ,GSO,DFW,1,B,112853N906MQ
1,1,1/1/15,2807,N604MQ,SGF,DFW,1,B,112807N604MQ
1,1,1/1/15,3278,N640MQ,DFW,BTR,1,B,113278N640MQ
1,1,1/1/15,3286,N642MQ,DFW,SHV,1,B,113286N642MQ
1,1,1/1/15,3439,N849MQ,DFW,TYS,1,B,113439N849MQ
1,1,1/1/15,163,N618NK,DFW,ATL,1,B,11163N618NK
1,1,1/1/15,2947,N1EAMQ,DFW,LIT,1,B,112947N1EAMQ
1,1,1/1/15,1616,N4WNAA,AUS,DFW,1,B,111616N4WNAA
1,1,1/1/15,2332,N005AA,DFW,ORD,1,B,112332N005AA
1,1,1/1/15,2831,N680MQ,DFW,TUL,1,B,112831N680MQ
1,1,1/1/15,2902,N609MQ,DFW,GRK,1,B,112902N609MQ
1,1,1/1/15,3016,N660MQ,DFW,PNS,1,B,113016N660MQ
1,1,1/1/15,3015,N825MQ,BTR,DFW,1,B,113015N825MQ
1,1,1/1/15,1476,N4XSAA,ICT,DFW,1,B,111476N4XSAA
1,1,1/1/15,2514,N879AS,DFW,OKC,1,A,112514N879AS
1,1,1/1/15,1090,N3DXAA,DFW,SNA,1,B,111090N3DXAA
1,1,1/1/15,3375,N5PBMQ,DFW,XNA,1,B,113375N5PBMQ
1,1,1/1/15,2780,N631MQ,DFW,MKE,1,B,112780N631MQ
1,1,1/1/15,3065,N908MQ,DFW,GSO,1,B,113065N908MQ
1,1,1/1/15,3154,N625MQ,DFW,VPS,1,B,113154N625MQ
1,1,1/1/15,3320,N649MQ,DFW,LAW,1,B,113320N649MQ
1,1,1/1/15,3389,N607MQ,XNA,DFW,1,B,113389N607MQ
1,1,1/1/15,6615,N907SW,FLG,PHX,1,B,116615N907SW
1,1,1/1/15,500,N782SA,STL,BWI,1,A,11500N782SA
1,1,1/1/15,1274,N4YAAA,SAT,DFW,1,B,111274N4YAAA
1,1,1/1/15,2286,N471AA,DFW,SAT,1,B,112286N471AA
1,1,1/1/15,1460,N3FDAA,DFW,PHX,1,B,111460N3FDAA
1,1,1/1/15,5366,N930EV,JMS,DEN,1,C,115366N930EV
1,1,1/1/15,3544,N698MQ,DFW,CAE,1,B,113544N698MQ
1,1,1/1/15,2897,N907MQ,DFW,GPT,1,B,112897N907MQ
1,1,1/1/15,3322,N857MQ,ABI,DFW,1,B,113322N857MQ
1,1,1/1/15,812,N632NK,DFW,TPA,1,B,11812N632NK
1,1,1/1/15,1301,N487AA,MSP,DFW,1,B,111301N487AA
1,1,1/1/15,3429,N928MQ,CVG,DFW,1,B,113429N928MQ
1,1,1/1/15,2517,N901EV,DFW,MLI,1,A,112517N901EV
